"row ID","post_bugs","Ce","LCOMCK","LCOMHS","LCOMPFI","LCOMTC","NOF","WMC","line_coverage","instructions_coverage","branche_coverage","complexity_coverage","method_coverage","mutants_score","has_bugs"
"org:apache:commons:math:analysis:solvers:UnivariateRealSolverUtils",0,8,0,0,0,0,0,13,0.9032258064516129,0.7393364928909952,0.8181818181818182,0.7222222222222222,0.8571428571428571,0.77,"no"
"org:apache:commons:math:complex:ComplexField",0,5,0,0,0,0,0,5,1.0,1.0,1.0,1.0,1.0,0.0,"no"
"org:apache:commons:math:complex:ComplexFormat",0,16,3,100,100,117,3,36,0.8068181818181818,0.8308605341246291,0.8333333333333334,0.7837837837837838,0.8095238095238095,0.65,"no"
"org:apache:commons:math:complex:ComplexUtils",0,3,0,0,0,0,0,3,0.6,0.896551724137931,1.0,0.6666666666666666,0.5,1.0,"no"
"org:apache:commons:math:distribution:BinomialDistributionImpl",0,7,0,50,86,47,2,19,0.8,0.7152777777777778,0.8333333333333334,0.7142857142857143,0.75,0.9,"no"
"org:apache:commons:math:distribution:HypergeometricDistributionImpl",0,6,0,43,52,70,3,31,0.8153846153846154,0.8087431693989071,0.75,0.6875,0.8,0.9,"no"
"org:apache:commons:math:distribution:PascalDistributionImpl",0,7,0,40,67,25,2,18,0.7647058823529411,0.7006802721088435,0.7857142857142857,0.631578947368421,0.6666666666666666,0.93,"no"
"org:apache:commons:math:distribution:PoissonDistributionImpl",0,9,0,75,74,119,4,19,0.6739130434782609,0.7032967032967034,0.9166666666666666,0.75,0.7142857142857143,0.77,"no"
"org:apache:commons:math:distribution:SaddlePointExpansion",0,3,0,0,0,0,0,12,0.9285714285714286,0.9509043927648578,0.9375,0.8461538461538461,0.8,0.68,"no"
"org:apache:commons:math:distribution:ZipfDistributionImpl",0,7,0,38,60,17,2,18,0.75,0.7322834645669292,0.8571428571428571,0.6842105263157895,0.6666666666666666,0.84,"no"
"org:apache:commons:math:estimation:AbstractEstimator",0,11,1,75,54,657,10,24,1.0,1.0,1.0,1.0,1.0,1.0,"no"
"org:apache:commons:math:estimation:EstimatedParameter",0,6,0,60,72,58,3,8,1.0,1.0,1.0,1.0,1.0,1.0,"no"
"org:apache:commons:math:estimation:EstimationException",0,4,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,"no"
"org:apache:commons:math:estimation:GaussNewtonEstimator",0,12,0,0,0,0,2,13,0.8222222222222222,0.9297520661157025,0.9444444444444444,0.7142857142857143,0.4,0.79,"no"
"org:apache:commons:math:estimation:LevenbergMarquardtEstimator",0,8,0,65,56,686,12,97,0.9827089337175793,0.9747979077508322,0.9081632653061225,0.8611111111111112,1.0,0.89,"no"
"org:apache:commons:math:estimation:SimpleEstimationProblem",0,8,0,50,83,46,2,8,1.0,1.0,1.0,1.0,1.0,0.82,"no"
"org:apache:commons:math:estimation:WeightedMeasurement",0,6,6,83,100,114,3,7,1.0,1.0,1.0,1.0,1.0,1.0,"no"
"org:apache:commons:math:fraction:AbstractFormat",0,11,1,100,100,100,2,18,0.868421052631579,0.8571428571428571,0.75,0.7368421052631579,0.8461538461538461,1.0,"no"
"org:apache:commons:math:fraction:BigFraction",0,16,0,10,20,2,2,89,0.9326923076923077,0.9130434782608695,0.9047619047619048,0.8762886597938144,0.8909090909090909,0.71,"no"
"org:apache:commons:math:fraction:BigFractionField",0,5,0,0,0,0,0,5,1.0,1.0,1.0,1.0,1.0,0.0,"no"
"org:apache:commons:math:fraction:BigFractionFormat",0,19,0,0,0,0,0,26,0.8688524590163934,0.8724279835390947,0.9047619047619048,0.72,0.6428571428571429,0.58,"no"
"org:apache:commons:math:fraction:Fraction",0,14,0,10,19,1,2,68,0.9761904761904762,0.972972972972973,0.925531914893617,0.9102564102564102,1.0,0.85,"no"
"org:apache:commons:math:fraction:FractionConversionException",0,4,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,0.0,"no"
"org:apache:commons:math:fraction:FractionField",0,5,0,0,0,0,0,5,1.0,1.0,1.0,1.0,1.0,0.0,"no"
"org:apache:commons:math:fraction:FractionFormat",0,17,0,0,0,0,0,23,0.8148148148148148,0.8373205741626795,0.9230769230769231,0.6666666666666666,0.5714285714285714,0.58,"no"
"org:apache:commons:math:fraction:ProperBigFractionFormat",0,12,0,0,0,0,1,21,0.8656716417910447,0.8805309734513275,0.8518518518518519,0.7619047619047619,0.8571428571428571,0.62,"no"
"org:apache:commons:math:fraction:ProperFractionFormat",0,11,0,0,0,0,1,18,0.8571428571428571,0.867579908675799,0.7894736842105263,0.7058823529411765,0.8571428571428571,0.69,"no"
"org:apache:commons:math:genetics:ChromosomePair",0,3,0,50,67,25,2,4,0.8571428571428571,0.5,1.0,0.75,0.75,0.0,"no"
